y	x	group	clickSelects
48.81964	2.33939	1	2009-04-09:18:11:56
48.81965	2.33935	1	2009-04-09:18:11:56
48.81964	2.33933	1	2009-04-09:18:11:56
48.81964	2.33931	1	2009-04-09:18:11:56
48.81966	2.33932	1	2009-04-09:18:11:56
48.81966	2.33932	1	2009-04-09:18:11:56
48.77634	2.44841	2	2009-04-11:09:52:48
48.77658	2.44731	2	2009-04-11:09:52:48
48.7759	2.44645	2	2009-04-11:09:52:48
48.77504	2.44649	2	2009-04-11:09:52:48
48.7742	2.44764	2	2009-04-11:09:52:48
48.77339	2.44855	2	2009-04-11:09:52:48
48.77335	2.44849	2	2009-04-11:09:52:48
48.77273	2.44938	2	2009-04-11:09:52:48
48.77235	2.45026	2	2009-04-11:09:52:48
48.77195	2.45112	2	2009-04-11:09:52:48
48.77149	2.45243	2	2009-04-11:09:52:48
48.77153	2.45343	2	2009-04-11:09:52:48
48.77105	2.45444	2	2009-04-11:09:52:48
48.77092	2.45569	2	2009-04-11:09:52:48
48.77042	2.45691	2	2009-04-11:09:52:48
48.77006	2.4579	2	2009-04-11:09:52:48
48.76972	2.45915	2	2009-04-11:09:52:48
48.76942	2.4605	2	2009-04-11:09:52:48
48.76965	2.46148	2	2009-04-11:09:52:48
48.77017	2.46175	2	2009-04-11:09:52:48
48.76976	2.46305	2	2009-04-11:09:52:48
48.7695	2.46436	2	2009-04-11:09:52:48
48.76916	2.46555	2	2009-04-11:09:52:48
48.76879	2.46679	2	2009-04-11:09:52:48
48.76855	2.46822	2	2009-04-11:09:52:48
48.76821	2.4696	2	2009-04-11:09:52:48
48.76868	2.47035	2	2009-04-11:09:52:48
48.76841	2.47161	2	2009-04-11:09:52:48
48.76811	2.47287	2	2009-04-11:09:52:48
48.76867	2.47387	2	2009-04-11:09:52:48
48.76926	2.47475	2	2009-04-11:09:52:48
48.76988	2.47561	2	2009-04-11:09:52:48
48.77041	2.47639	2	2009-04-11:09:52:48
48.77087	2.47702	2	2009-04-11:09:52:48
48.77145	2.47789	2	2009-04-11:09:52:48
48.7721	2.47881	2	2009-04-11:09:52:48
48.77272	2.4797	2	2009-04-11:09:52:48
48.77329	2.48056	2	2009-04-11:09:52:48
48.77394	2.48148	2	2009-04-11:09:52:48
48.77366	2.48237	2	2009-04-11:09:52:48
48.77295	2.48315	2	2009-04-11:09:52:48
48.77228	2.48386	2	2009-04-11:09:52:48
48.77153	2.48457	2	2009-04-11:09:52:48
48.77079	2.4853	2	2009-04-11:09:52:48
48.77011	2.48601	2	2009-04-11:09:52:48
48.76935	2.48666	2	2009-04-11:09:52:48
48.7686	2.48733	2	2009-04-11:09:52:48
48.7679	2.48806	2	2009-04-11:09:52:48
48.76718	2.48882	2	2009-04-11:09:52:48
48.76647	2.48962	2	2009-04-11:09:52:48
48.76578	2.49048	2	2009-04-11:09:52:48
48.76513	2.49146	2	2009-04-11:09:52:48
48.76446	2.49238	2	2009-04-11:09:52:48
48.76379	2.49332	2	2009-04-11:09:52:48
48.76308	2.4942	2	2009-04-11:09:52:48
48.76218	2.49538	2	2009-04-11:09:52:48
48.76154	2.49621	2	2009-04-11:09:52:48
48.76091	2.49705	2	2009-04-11:09:52:48
48.76034	2.49802	2	2009-04-11:09:52:48
48.75978	2.49909	2	2009-04-11:09:52:48
48.75918	2.50015	2	2009-04-11:09:52:48
48.75858	2.5011	2	2009-04-11:09:52:48
48.75802	2.50207	2	2009-04-11:09:52:48
48.75741	2.50298	2	2009-04-11:09:52:48
48.75709	2.50345	2	2009-04-11:09:52:48
48.75664	2.5041	2	2009-04-11:09:52:48
48.75591	2.50472	2	2009-04-11:09:52:48
48.7551	2.50498	2	2009-04-11:09:52:48
48.75463	2.50583	2	2009-04-11:09:52:48
48.75389	2.50635	2	2009-04-11:09:52:48
48.75306	2.50658	2	2009-04-11:09:52:48
48.75217	2.50661	2	2009-04-11:09:52:48
48.75138	2.50704	2	2009-04-11:09:52:48
48.75067	2.5076	2	2009-04-11:09:52:48
48.74988	2.50808	2	2009-04-11:09:52:48
48.7491	2.50862	2	2009-04-11:09:52:48
48.7483	2.50916	2	2009-04-11:09:52:48
48.74751	2.50969	2	2009-04-11:09:52:48
48.74677	2.51024	2	2009-04-11:09:52:48
48.74602	2.51074	2	2009-04-11:09:52:48
48.74528	2.5113	2	2009-04-11:09:52:48
48.74448	2.51183	2	2009-04-11:09:52:48
48.74372	2.51245	2	2009-04-11:09:52:48
48.74302	2.51302	2	2009-04-11:09:52:48
48.74229	2.51364	2	2009-04-11:09:52:48
48.74154	2.51424	2	2009-04-11:09:52:48
48.74081	2.51481	2	2009-04-11:09:52:48
48.74011	2.51541	2	2009-04-11:09:52:48
48.73938	2.51601	2	2009-04-11:09:52:48
48.73868	2.51662	2	2009-04-11:09:52:48
48.738	2.51717	2	2009-04-11:09:52:48
48.73729	2.51776	2	2009-04-11:09:52:48
48.73654	2.51836	2	2009-04-11:09:52:48
48.73581	2.5189	2	2009-04-11:09:52:48
48.73507	2.51951	2	2009-04-11:09:52:48
48.73438	2.52017	2	2009-04-11:09:52:48
48.73367	2.52098	2	2009-04-11:09:52:48
48.73297	2.52161	2	2009-04-11:09:52:48
48.73226	2.52228	2	2009-04-11:09:52:48
48.73166	2.52311	2	2009-04-11:09:52:48
48.73115	2.52403	2	2009-04-11:09:52:48
48.73066	2.52501	2	2009-04-11:09:52:48
48.73008	2.52594	2	2009-04-11:09:52:48
48.72953	2.52688	2	2009-04-11:09:52:48
48.72898	2.52783	2	2009-04-11:09:52:48
48.72849	2.52872	2	2009-04-11:09:52:48
48.72796	2.52971	2	2009-04-11:09:52:48
48.7275	2.53079	2	2009-04-11:09:52:48
48.72679	2.53111	2	2009-04-11:09:52:48
48.72595	2.53129	2	2009-04-11:09:52:48
48.72515	2.53123	2	2009-04-11:09:52:48
48.72432	2.53114	2	2009-04-11:09:52:48
48.72354	2.53154	2	2009-04-11:09:52:48
48.72312	2.53259	2	2009-04-11:09:52:48
48.72251	2.53339	2	2009-04-11:09:52:48
48.72178	2.53352	2	2009-04-11:09:52:48
48.72098	2.53336	2	2009-04-11:09:52:48
48.7201	2.53312	2	2009-04-11:09:52:48
48.71958	2.53406	2	2009-04-11:09:52:48
48.71881	2.53427	2	2009-04-11:09:52:48
48.71812	2.53502	2	2009-04-11:09:52:48
48.71746	2.53582	2	2009-04-11:09:52:48
48.71688	2.53686	2	2009-04-11:09:52:48
48.71615	2.53741	2	2009-04-11:09:52:48
48.71529	2.53723	2	2009-04-11:09:52:48
48.71443	2.53733	2	2009-04-11:09:52:48
48.71363	2.53779	2	2009-04-11:09:52:48
48.71279	2.53824	2	2009-04-11:09:52:48
48.71198	2.5387	2	2009-04-11:09:52:48
48.71118	2.53905	2	2009-04-11:09:52:48
48.71043	2.53961	2	2009-04-11:09:52:48
48.70971	2.54023	2	2009-04-11:09:52:48
48.70901	2.54095	2	2009-04-11:09:52:48
48.70833	2.54159	2	2009-04-11:09:52:48
48.70759	2.54209	2	2009-04-11:09:52:48
48.70707	2.54297	2	2009-04-11:09:52:48
48.70655	2.54397	2	2009-04-11:09:52:48
48.70598	2.54482	2	2009-04-11:09:52:48
48.70534	2.54558	2	2009-04-11:09:52:48
48.70455	2.54572	2	2009-04-11:09:52:48
48.70378	2.54538	2	2009-04-11:09:52:48
48.70303	2.54503	2	2009-04-11:09:52:48
48.70241	2.54514	2	2009-04-11:09:52:48
48.70277	2.54598	2	2009-04-11:09:52:48
48.70295	2.54722	2	2009-04-11:09:52:48
48.70312	2.54842	2	2009-04-11:09:52:48
48.70347	2.54952	2	2009-04-11:09:52:48
48.70394	2.55054	2	2009-04-11:09:52:48
48.7045	2.5514	2	2009-04-11:09:52:48
48.70505	2.55224	2	2009-04-11:09:52:48
48.70562	2.55306	2	2009-04-11:09:52:48
48.70554	2.55398	2	2009-04-11:09:52:48
48.70503	2.55488	2	2009-04-11:09:52:48
48.7045	2.5558	2	2009-04-11:09:52:48
48.70508	2.55663	2	2009-04-11:09:52:48
48.70568	2.55745	2	2009-04-11:09:52:48
48.70628	2.55824	2	2009-04-11:09:52:48
48.70694	2.55898	2	2009-04-11:09:52:48
48.70758	2.55972	2	2009-04-11:09:52:48
48.70823	2.5605	2	2009-04-11:09:52:48
48.70904	2.56092	2	2009-04-11:09:52:48
48.70979	2.56141	2	2009-04-11:09:52:48
48.70995	2.56151	2	2009-04-11:09:52:48
48.70968	2.56023	2	2009-04-11:09:52:48
48.70951	2.55891	2	2009-04-11:09:52:48
48.70955	2.55755	2	2009-04-11:09:52:48
48.70881	2.55699	2	2009-04-11:09:52:48
48.70811	2.55638	2	2009-04-11:09:52:48
48.70746	2.55559	2	2009-04-11:09:52:48
48.70684	2.55474	2	2009-04-11:09:52:48
48.70621	2.55395	2	2009-04-11:09:52:48
48.70556	2.55401	2	2009-04-11:09:52:48
48.70504	2.55488	2	2009-04-11:09:52:48
48.70453	2.55581	2	2009-04-11:09:52:48
48.7051	2.55666	2	2009-04-11:09:52:48
48.70563	2.55694	2	2009-04-11:09:52:48
48.70596	2.55786	2	2009-04-11:09:52:48
48.7062	2.55815	2	2009-04-11:09:52:48
48.70684	2.55893	2	2009-04-11:09:52:48
48.70656	2.55859	2	2009-04-11:09:52:48
48.70592	2.5578	2	2009-04-11:09:52:48
48.70531	2.557	2	2009-04-11:09:52:48
48.70488	2.55637	2	2009-04-11:09:52:48
48.70557	2.55729	2	2009-04-11:09:52:48
48.70619	2.55812	2	2009-04-11:09:52:48
48.70683	2.55887	2	2009-04-11:09:52:48
48.7075	2.55961	2	2009-04-11:09:52:48
48.70807	2.56044	2	2009-04-11:09:52:48
48.70775	2.5616	2	2009-04-11:09:52:48
48.70741	2.56272	2	2009-04-11:09:52:48
48.70709	2.56394	2	2009-04-11:09:52:48
48.70675	2.56505	2	2009-04-11:09:52:48
48.70603	2.56436	2	2009-04-11:09:52:48
48.70538	2.56364	2	2009-04-11:09:52:48
48.70475	2.56287	2	2009-04-11:09:52:48
48.70456	2.56262	2	2009-04-11:09:52:48
48.70455	2.5626	2	2009-04-11:09:52:48
48.70456	2.56258	2	2009-04-11:09:52:48
48.70458	2.56253	2	2009-04-11:09:52:48
48.70458	2.56254	2	2009-04-11:09:52:48
48.70457	2.56254	2	2009-04-11:09:52:48
48.70458	2.56252	2	2009-04-11:09:52:48
48.70461	2.56251	2	2009-04-11:09:52:48
48.70463	2.56251	2	2009-04-11:09:52:48
48.70465	2.56251	2	2009-04-11:09:52:48
48.70469	2.56246	2	2009-04-11:09:52:48
48.70469	2.56243	2	2009-04-11:09:52:48
48.70469	2.56241	2	2009-04-11:09:52:48
48.70469	2.56239	2	2009-04-11:09:52:48
48.70468	2.56237	2	2009-04-11:09:52:48
48.70468	2.56234	2	2009-04-11:09:52:48
48.70467	2.56232	2	2009-04-11:09:52:48
48.70467	2.5623	2	2009-04-11:09:52:48
48.70467	2.56228	2	2009-04-11:09:52:48
48.70465	2.56227	2	2009-04-11:09:52:48
48.70463	2.56228	2	2009-04-11:09:52:48
48.70461	2.56229	2	2009-04-11:09:52:48
48.70457	2.56225	2	2009-04-11:09:52:48
48.70456	2.56225	3	2009-04-11:15:51:05
48.70294	2.56014	3	2009-04-11:15:51:05
48.70354	2.55751	3	2009-04-11:15:51:05
48.70506	2.55488	3	2009-04-11:15:51:05
48.70541	2.55275	3	2009-04-11:15:51:05
48.704	2.55069	3	2009-04-11:15:51:05
48.70296	2.54761	3	2009-04-11:15:51:05
48.70293	2.54502	3	2009-04-11:15:51:05
48.70477	2.54577	3	2009-04-11:15:51:05
48.70655	2.54399	3	2009-04-11:15:51:05
48.70808	2.5419	3	2009-04-11:15:51:05
48.70989	2.54012	3	2009-04-11:15:51:05
48.71198	2.53877	3	2009-04-11:15:51:05
48.71403	2.53764	3	2009-04-11:15:51:05
48.71583	2.53741	3	2009-04-11:15:51:05
48.7174	2.53622	3	2009-04-11:15:51:05
48.7185	2.53457	3	2009-04-11:15:51:05
48.7196	2.53399	3	2009-04-11:15:51:05
48.72096	2.53347	3	2009-04-11:15:51:05
48.72259	2.53336	3	2009-04-11:15:51:05
48.72399	2.53116	3	2009-04-11:15:51:05
48.72563	2.53128	3	2009-04-11:15:51:05
48.72722	2.53101	3	2009-04-11:15:51:05
48.72834	2.5292	3	2009-04-11:15:51:05
48.72952	2.5271	3	2009-04-11:15:51:05
48.73067	2.525	3	2009-04-11:15:51:05
48.73182	2.52301	3	2009-04-11:15:51:05
48.73322	2.52145	3	2009-04-11:15:51:05
48.73474	2.5203	3	2009-04-11:15:51:05
48.73636	2.51893	3	2009-04-11:15:51:05
48.73795	2.51751	3	2009-04-11:15:51:05
48.73961	2.51612	3	2009-04-11:15:51:05
48.74086	2.51508	3	2009-04-11:15:51:05
48.74179	2.51433	3	2009-04-11:15:51:05
48.7432	2.51313	3	2009-04-11:15:51:05
48.74463	2.51198	3	2009-04-11:15:51:05
48.74606	2.51085	3	2009-04-11:15:51:05
48.74752	2.50978	3	2009-04-11:15:51:05
48.74907	2.5087	3	2009-04-11:15:51:05
48.75049	2.50761	3	2009-04-11:15:51:05
48.75205	2.50665	3	2009-04-11:15:51:05
48.75369	2.50662	3	2009-04-11:15:51:05
48.75513	2.50531	3	2009-04-11:15:51:05
48.75679	2.50459	3	2009-04-11:15:51:05
48.75823	2.50343	3	2009-04-11:15:51:05
48.75899	2.5012	3	2009-04-11:15:51:05
48.76002	2.49911	3	2009-04-11:15:51:05
48.76105	2.49714	3	2009-04-11:15:51:05
48.76225	2.49553	3	2009-04-11:15:51:05
48.76358	2.49371	3	2009-04-11:15:51:05
48.76483	2.49209	3	2009-04-11:15:51:05
48.76607	2.49049	3	2009-04-11:15:51:05
48.76732	2.489	3	2009-04-11:15:51:05
