fill	colour	y	x	key	showSelected1	showSelected2	showSelected3
#FFFFFF	#000000	49.19137	2.4857	start	2009-08-16:11:26:17	ride	start
#000000	#000000	48.85665	2.35732	end	2009-08-16:11:26:17	ride	end
#FFFFFF	#000000	48.74628	2.21981	start	2009-08-19:17:19:57	ride	start
#000000	#000000	48.85757	2.33505	end	2009-08-19:17:19:57	ride	end
#FFFFFF	#000000	48.80924	2.40383	start	2009-08-23:06:44:18	ride	start
#000000	#000000	48.76803	2.83193	end	2009-08-23:06:44:18	ride	end
#FFFFFF	#000000	48.76803	2.83193	start	2009-08-23:09:38:53	ride	start
#000000	#000000	48.87207	2.3656	end	2009-08-23:09:38:53	ride	end
#FFFFFF	#000000	48.76643	2.18123	start	2009-08-27:17:58:03	ride	start
#000000	#000000	48.77624	2.40989	end	2009-08-27:17:58:03	ride	end
#FFFFFF	#000000	48.77715	2.40903	start	2009-08-27:21:22:01	ride	start
#000000	#000000	48.85657	2.3576	end	2009-08-27:21:22:01	ride	end
#FFFFFF	#000000	48.8563	2.35717	start	2009-08-28:06:50:51	ride	start
#000000	#000000	48.76629	2.18115	end	2009-08-28:06:50:51	ride	end
#FFFFFF	#000000	48.84662	2.37718	start	2009-08-29:13:08:43	ride	start
#000000	#000000	48.85666	2.35736	end	2009-08-29:13:08:43	ride	end
#FFFFFF	#000000	48.90228	2.34405	start	2009-08-30:04:29:06	ride	start
#000000	#000000	49.04655	2.10571	end	2009-08-30:04:29:06	ride	end
#FFFFFF	#000000	49.17159	1.75658	start	2009-08-30:07:22:48	ride	start
#000000	#000000	49.44323	1.0864	end	2009-08-30:07:22:48	ride	end
#FFFFFF	#000000	49.44358	1.08851	start	2009-08-30:11:55:25	ride	start
#000000	#000000	49.1706	1.40445	end	2009-08-30:11:55:25	ride	end
#FFFFFF	#000000	49.1706	1.40444	start	2009-08-30:14:56:52	ride	start
#000000	#000000	49.07449	1.53723	end	2009-08-30:14:56:52	ride	end
#FFFFFF	#000000	49.0745	1.53723	start	2009-08-30:16:33:46	ride	start
#000000	#000000	49.05503	1.73149	end	2009-08-30:16:33:46	ride	end
#FFFFFF	#000000	48.8322	2.28727	start	2009-09-07:10:08:30	ride	start
#000000	#000000	48.76636	2.18097	end	2009-09-07:10:08:30	ride	end
#FFFFFF	#000000	48.94269	2.43315	start	2009-09-27:06:11:39	ride	start
#000000	#000000	49.20523	2.58609	end	2009-09-27:06:11:39	ride	end
#FFFFFF	#000000	49.20521	2.58604	start	2009-09-27:08:19:41	ride	start
#000000	#000000	48.89311	2.34024	end	2009-09-27:08:19:41	ride	end
#FFFFFF	#000000	48.89307	2.34026	start	2009-09-27:11:04:22	ride	start
#000000	#000000	48.82278	2.36651	end	2009-09-27:11:04:22	ride	end
#FFFFFF	#000000	48.82129	2.36871	start	2009-09-27:12:53:49	ride	start
#000000	#000000	48.77607	2.13032	end	2009-09-27:12:53:49	ride	end
#FFFFFF	#000000	48.77607	2.13032	start	2009-09-27:14:19:10	ride	start
#000000	#000000	48.77633	2.12882	end	2009-09-27:14:19:10	ride	end
#FFFFFF	#000000	48.88304	2.37063	start	2009-10-04:11:35:58	ride	start
#000000	#000000	48.95222	2.60105	end	2009-10-04:11:35:58	ride	end
#FFFFFF	#000000	48.95223	2.60105	start	2009-10-04:13:10:21	ride	start
#000000	#000000	48.82305	2.36652	end	2009-10-04:13:10:21	ride	end
#FFFFFF	#000000	48.83389	2.44488	start	2009-10-07:18:41:11	ride	start
#000000	#000000	48.82298	2.36679	end	2009-10-07:18:41:11	ride	end
#FFFFFF	#000000	48.82127	2.39419	start	2009-10-11:08:51:39	ride	start
#000000	#000000	48.53294	2.56107	end	2009-10-11:08:51:39	ride	end
#FFFFFF	#000000	48.53294	2.56105	start	2009-10-11:12:10:11	ride	start
#000000	#000000	48.56788	2.7123	end	2009-10-11:12:10:11	ride	end
#FFFFFF	#000000	48.81831	2.49186	start	2009-10-25:07:22:37	ride	start
#000000	#000000	48.96005	2.87791	end	2009-10-25:07:22:37	ride	end
#FFFFFF	#000000	48.96005	2.87791	start	2009-10-25:10:25:19	ride	start
#000000	#000000	48.8687	2.36666	end	2009-10-25:10:25:19	ride	end
