colour	y	x	key	label	showSelected1	showSelected2	showSelected3	group
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-13:16:31:56	end	nearby cities	37
#FF0000	48.3	1	start	start: montrouge (92049), hauts-de-seine (92), Île-de-France	2009-05-14:08:25:13	start	nearby cities	149
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-14:08:25:13	end	nearby cities	38
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-14:16:54:51	start	nearby cities	150
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-14:16:54:51	end	nearby cities	39
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-18:07:12:45	start	nearby cities	151
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-18:07:12:45	end	nearby cities	40
#FF0000	48.3	1	start	start: paris (75114), paris (75), Île-de-France	2009-05-19:07:16:30	start	nearby cities	152
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-19:07:16:30	end	nearby cities	41
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-19:17:16:32	start	nearby cities	153
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-19:17:16:32	end	nearby cities	42
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-20:08:14:40	start	nearby cities	154
#FF0000	48.2	1	end	end: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-20:08:14:40	end	nearby cities	43
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-20:16:12:12	start	nearby cities	155
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-20:16:12:12	end	nearby cities	44
#FF0000	48.3	1	start	start: maisons laffitte (78358), yvelines (78), Île-de-France	2009-05-21:10:39:03	start	nearby cities	156
#FF0000	48.2	1	end	end: sartrouville (78586), yvelines (78), Île-de-France	2009-05-21:10:39:03	end	nearby cities	45
#FF0000	48.3	1	start	start: sartrouville (78586), yvelines (78), Île-de-France	2009-05-21:15:09:59	start	nearby cities	157
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-21:15:09:59	end	nearby cities	46
#FF0000	48.3	1	start	start: paris (75114), paris (75), Île-de-France	2009-05-22:09:04:06	start	nearby cities	158
#FF0000	48.2	1	end	end: paris (75111), paris (75), Île-de-France	2009-05-22:09:04:06	end	nearby cities	47
#FF0000	48.3	1	start	start: paris (75104), paris (75), Île-de-France	2009-05-22:11:50:59	start	nearby cities	159
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-22:11:50:59	end	nearby cities	48
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-25:16:22:05	start	nearby cities	160
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-25:16:22:05	end	nearby cities	49
#FF0000	48.3	1	start	start: paris (75105), paris (75), Île-de-France	2009-05-25:18:21:16	start	nearby cities	161
#FF0000	48.2	1	end	end: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-25:18:21:16	end	nearby cities	50
#FF0000	48.3	1	start	start: jouy en josas (78322), yvelines (78), Île-de-France	2009-05-26:17:46:35	start	nearby cities	162
#FF0000	48.2	1	end	end: paris (75111), paris (75), Île-de-France	2009-05-26:17:46:35	end	nearby cities	51
#FF0000	48.3	1	start	start: gentilly (94037), val-de-marne (94), Île-de-France	2009-05-27:06:59:24	start	nearby cities	163
